Warehouse Code,Warehouse Name,Warehouse Country,Warehouse City,Customer Code,Customer Country,Customer City,Road,Rail,Sea,Air
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001001-01,INDIA,BANGALORE,2450.0,1800.0,0.0,1200.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001002-02,INDIA,HYDERABAD,1850.0,1400.0,0.0,1200.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001003-03,INDIA,PUNE,1650.0,1200.0,0.0,1400.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001004-04,INDIA,AHMEDABAD,850.0,650.0,0.0,900.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001005-05,INDIA,JAIPUR,250.0,180.0,0.0,250.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001006-06,INDIA,LUCKNOW,520.0,380.0,0.0,600.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001007-07,INDIA,KANPUR,680.0,500.0,0.0,700.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001008-08,INDIA,CHANDIGARH,300.0,220.0,0.0,300.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001009-09,INDIA,INDORE,420.0,300.0,0.0,450.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001012-12,INDIA,NAGPUR,800.0,600.0,0.0,850.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001013-13,INDIA,BHOPAL,600.0,450.0,0.0,650.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001016-16,INDIA,DELHI,50.0,40.0,0.0,60.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001017-17,INDIA,GHAZIABAD,70.0,50.0,0.0,80.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001019-19,INDIA,SONIPAT,90.0,60.0,0.0,100.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001024-24,INDIA,MEERUT,110.0,80.0,0.0,120.0
2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001026-26,INDIA,ROHTAK,130.0,95.0,0.0,140.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002001-01,INDIA,BANGALORE,1450.0,1050.0,400.0,1000.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002002-02,INDIA,HYDERABAD,1250.0,900.0,350.0,900.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002003-03,INDIA,PUNE,450.0,330.0,0.0,350.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002004-04,INDIA,AHMEDABAD,650.0,480.0,0.0,700.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002005-05,INDIA,SURAT,380.0,280.0,0.0,400.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002006-06,INDIA,NASHIK,320.0,240.0,0.0,300.0
